Title (News Shots),Categories,Date
European Commission Waives the Takeda's Commitment to Obtain Clearance on Shire's Acquisition,Pharma,29/5/2020
"Celltrion Launches its Third Biosimilar Truxima (biosimilar, rituximab) in Brazil",Biosimilars,27/5/2020
Genmab Reports Results of Daratumumab Based Combination Therapy in P-III ANDROMEDA Study for Light-chain Amyloidosis,Biotech|Clinical Trials,29/5/2020
Amgen Reports Clinical Data of AMG 510 in CodeBreaK 100 Study for Multiple Solid Tumors #ASCO20,Biotech,2020-01-06
Celltrion and MSD Report Results of First-Line Triplet Regimen P-I/II PANTHERA trial in Patients with HER2-Positive Advanced Gastric Cancer,Biosimilars|Clinical Trials,27/5/2020
AbbVie Signs a Worldwide License Agreement with Jacobio to Advance SHP2 Inhibitors,Biotech,2020-01-06
Merck KGaA and Pfizer's Bavencio (avelumab) Demonstrates the Potential in Gestational Trophoblastic Tumors #ASCO20,Biotech,2020-01-06
Seattle Genetics Report Updated Results of Tukysa (tucatinib) in HER2CLIMB Study for Patients with HER2-Positive Breast Cancer with Stable or Active Brain Metastases #ASCO20,Pharma,2020-01-06
Mycenax Signs an Agreement with Gedeon Richter for LusiNEX,Biosimilars,28/5/2020
"Daewon Pharmaceutical Launches its Terrosa (biosimilar, teriparatide) to Treat Osteoporosis",Biosimilars,26/5/2020
Merck's Reports Results of Keytruda (pembrolizumab) in P-III KEYNOTE-177 for Patients with MSI-H Colorectal Cancer #ASCO20,Biotech|Clinical Trials,2020-01-06
Takeda to Present Results of Iclusig (ponatinib) in P-II OPTIC Study for Chronic Myeloid Leukemia in the Chronic Phase at ASCO and EHA #ASCO20,Clinical Trials|Pharma,2020-01-06
AstraZeneca Reports Results of Tagrisso (osimertinib) in P-III ADAURA study for EGFR-Mutated Lung Cancer #ASCO20,Biotech|Clinical Trials,2020-01-06
AstraZeneca and Daiichi Sankyo Provide Updates of Enhertu (fam-trastuzumab deruxtecan-nxki) in HER2-Positive Metastatic Colorectal Cancer and HER2-Mutant Non-Small Cell Lung Cancer #ASCO20,Biotech,2020-01-06
Eli Lilly Initiates the World's First Clinical Study to Evaluate the Potential of COVID-19 Antibody Treatment in Humans,Biotech|COVID-19,2020-02-06
"Mylan and Lupin Receive EC's MAA for Nepexto (biosimilar, etanercept)",Biosimilars,2020-04-06
Inovio to Initiate P-I/II Study of INO-4800 Against COVID-19 in South Korea,Biotech|COVID-19,2020-04-06
AstraZeneca Signs Exclusive Worldwide License Agreement with Accent for RMP-Targeting Therapies,Pharma,2020-04-06
Roche's Elecsys IL-6 Test Receives the US FDA's EUA to Identify Patients at High Risk of Severe Inflammatory Response with COVID-19,COVID-19|MedTech,2020-04-06
Formycon To Update on its Biosimilar Programs,Biosimilars,15/5/2020
Celltrion Anticipates the Launch of Insulin Pen Biosimilar by 2025,Biosimilars,2020-03-06
Lilly Reveals New Data for Olumiant (baricitinib) to Treat Rheumatoid Arthritis and Systemic Lupus Erythematosus #EULAR,Biotech,2020-03-06
Eli Lilly to Present Data of Taltz (ixekizumab) for Patients with Psoriatic Arthritis at EULAR 2020 #EULAR,Biotech,2020-03-06
Personalis Collaborates with Sarepta Therapeutics on Immune Response to Precision Genetic Therapeutics,Biotech,2020-03-06
The US FDA Extends Review of sBLA of Ofatumumab (OMB157) for Patients with Relapsing Multiple Sclerosis,Biotech|Regulatory,2020-03-06
Intravacc and EpiVax Collaborate to Develop an Emerging Vaccine for COVID-19,Biotech|COVID-19,2020-03-06
Y-mAbs Reports the US FDA's Acceptance of Priority Review for Danyelza's (naxitamab) BLA to Treat Neuroblastoma,Pharma|Regulatory,2020-03-06
Regeneron and Intellia Expand Their 2016 Collaboration to Develop CRISPR/CAS9 Based Therapies,Biotech,2020-02-06
Sanofi's Sarclisa (isatuximab) Receives EC's Approval for adults with Relapsed and Refractory Multiple Myeloma,Biotech,2020-02-06
Roche's Tecentriq + Avastin Receives the US FDA's Approval for Unresectable or Metastatic Hepatocellular Carcinoma,Regulatory,2020-02-06
Revance and Mylan to Advance Development Program for a Proposed Biosimilar to BOTOX,Biosimilars,2020-02-06
"Henlius and Accord Receive CHMP's Positive Opinion for its HLX02 (biosimilar, trastuzumab)",Biosimilars,2020-02-06
Melinta Therapeutics to Acquire Tetraphase Pharmaceuticals,M&A,2020-05-06
Novartis Reports Results of Enerzair Breezhaler (QVM149) in P-IIIb ARGON Study to Treat Uncontrolled Asthma,Biotech|Clinical Trials,2020-05-06
AstraZeneca in Talks with Gilead for a Megamerger,M&A,2020-08-06
AbbVie Enters into a Collaboration to Develop Monoclonal Antibody Therapy for Preventing COVID-19,Biotech|COVID-19,2020-08-06
Oxford Biomedica Signs a Five-Year Agreement with the Vaccines Manufacturing and Innovation Centre (VMIC) for (VMIC),COVID-19|Pharma,2020-08-06
AstraZeneca Reports Results of Calquence (acalabrutinib) in CALAVI Study for Hospitalized COVID-19 Patients,Biotech|Clinical Trials|COVID-19,2020-08-06
Eli Lilly to Initiate P-I Study of its Second Antibody Treatment Against COVID-19,Biotech|COVID-19,2020-08-06
Alphamab Oncology Signs an Agreement with Sanofi for KN026,Biotech,2020-09-06
Roche Signs an Agreement with Innovent to Develop Therapies for Hematological and Solid Cancers,Pharma,2020-09-06
Astellas Reports Results of Roxadustat in P-III DOLOMITES Study to Treat Anemia in Non-Dialysis Dependent Adult Patients with Chronic Kidney Disease,Clinical Trials|Pharma,2020-09-06
Mallinckrodt Reports Completion of BLA Submission to the US FDA for StrataGraft to Treat Deep Partial-Thickness Thermal Burns in Adults,Biotech|Regulatory,2020-09-06
Eli Lilly Reports Dosing of its First Patient with Tirzepatide in P-III SURPASS-CVOT Study for Cardiovascular Outcomes,Pharma,2020-09-06
Eli Lilly Signs Five-Years License Agreement with Evox Therapeutics for its DeliverEX Platform,Pharma,2020-09-06
Denali and Sanofi Provide Update on its RIPK1 Program,Pharma,2020-10-06
"Sandoz Receives Health Canada's Approval to Launch Ziextenzo (biosimilar, pegfilgrastim) and Riximyo (biosimilar, rituximab) in Canada",Biosimilars,2020-10-06
AstraZeneca Plans to Advance the Combination of Neutralizing Antibody for COVID-19 into Clinical in Next Two Months,Biotech|COVID-19,2020-10-06
AbbVie Collaborates with Genmab to Develop and Commercialize Therapies for Cancer Worth Over $3B,Biotech,2020-10-06
BMS Signs a Clinical Trial Collaboration with UbiVac to Evaluate the Triplet Therapy for Advanced Triple Negative Breast Cancer,Pharma,2020-10-06
Takeda Signs an Exclusive License and Research Agreement with Debiopharm to Develop Novel Microbiome Therapeutics for the Gastrointestinal Disorders,Biotech,2020-10-06
Dexcom's Glucose Monitoring Wearable System Receives CE Mark in the Europe,DigiHealth,2020-10-06
Johnson &Johnson to Initiate P-I/IIa Clinical Study of its COVID-19 Vaccine in July,Biotech|COVID-19,2020-11-06
RedHill Biopharma Reports the Submission of CTA for P-II/III Study Evaluating Opaganib Against COVID-19 in Russia,Biotech|COVID-19,2020-11-06
Cipla to Acquire 21.85% Stake in GoApptiv for ~$1.2M,M&A,2020-11-06
BMS' Opdivo (nivolumab) Receives the US FDA's Approval for Advanced Esophageal Squamous Cell Carcinoma,Regulatory,2020-11-06
Sorrento Submits EUA to the US FDA for its COVI-TRACK Test to Detect COVID-19,COVID-19|MedTech,2020-11-06
"Pfizer Receives the US FDA's Approval for its Nyvepria (biosimilar, pegfilgrastim)",Biosimilars,2020-11-06
"Celltrion to Evaluate Remsima (biosimilar, infliximab) Against COVID-19 in the UK",Biosimilars,2020-11-06
Novo Nordisk to Acquire AstraZeneca's Spin-off Corvidia for ~$2.1B,M&A,2020-12-06
"Mylan and Biocon Receive the US FDA's Approval for Semglee (biosimilar, insulin glargine)",Biosimilars,2020-12-06
Moderna to Initiate P-III Study of its mRNA-1273 Against COVID-19 in July 2020,Biotech|COVID-19,2020-12-06
Lannett to Submit Biosimilar Application to the US FDA for its Insulin Glargine by the End of 2022,Biosimilars,2020-12-06
Regeneron Initiates its First Clinical Study of Antibody Cocktail for the Treatment and Prevention of COVID-19,Biotech|COVID-19,2020-12-06
Takeda to Divest OTC and Select Non-core Assets to Celltrion for ~ $278M,Biotech,2020-12-06
Medtronic Receives CE Mark for MiniMed 780G Insulin Pump to Treat Type 1 Diabetes,MedTech,2020-12-06
AstraZeneca To Supply 400M Doses of Vaccines to IVA by the End of 2020,Biotech|COVID-19,15/6/2020
Gilead Signs a License Agreement with Zydus and Dr. Reddy's for Remdesivir to Treat COVID-19,Biotech|COVID-19,15/6/2020
Eli Lilly Initiates P-III Study Evaluating Baricitinib in Hospitalized Patients with COVID-19,Biotech|COVID-19,15/6/2020
Merck's Gardasil 9 Receives the US FDA's Approval to Prevent HPV-Related Head and Neck Cancers,Regulatory,15/6/2020
Foundation Medicine Acquires Lexent to Expand its Liquid Biopsy Platforms,M&A,15/6/2020
AstraZeneca Signs an Agreement with Catalent to Manufacture AZD1222 for COVID-19,COVID-19|Pharma,16/6/2020
Akili's EndeavorRx Receives the US FDA's Approval as the First Game-Based Digital Therapeutic to Improve Attention Function in Children with ADHD,DigiHealth,16/6/2020
Celltrion Anticipates the Launch of its POCT Kit for COVID-19 in July 2020,MedTech,16/6/2020
Bayer and MassBio to Launch Joint Mentoring Program to Foster Startups in Asia,Pharma,16/6/2020
"Celltrion Report Results of Truxima (biosimilar, rituximab) Based Regimen in P-II Study for R/R Aggressive B-cell Lymphoma #EHA25",Biosimilars|Clinical Trials,16/6/2020
Sun Pharma Signs a License Agreement with Hikma for Ilumya (tildrakizumab) in MENA Regions,Biotech,16/6/2020
Takeda and Neurocrine Collaborate for Seven Neuro Programs Worth Up to $2B,Pharma,17/6/2020
Merck and Pfizer Report Results of Steglatro (ertugliflozin) in P-III VERTIS CV Study for Type 2 Diabetes and Atherosclerotic Cardiovascular Disease,Clinical Trials|Pharma,17/6/2020
GSK Signs a Synthetic Lethality Cancer Agreement with Ideaya for ~$170M,Biotech,17/6/2020
Novartis' Cosentyx (secukinumab) Receives the US FDA's Approval for Active Non-Radiographic Axial Spondyloarthritis,Biotech,17/6/2020
Sanofi Report Results of Avalglucosidase alfa in P-III COMET Study for Late Onset Pompe Disease,Biotech|Clinical Trials,17/6/2020
Deciphera Pharmaceuticals' Qinlock (ripretinib) Receives the US FDA's Approval to Treat 4L Gastrointestinal Stromal Tumor,Regulatory,15/5/2020
Zionexa And Petnet Solutions' Cerianna (Fluoroestradiol F 18) Receive the US FDA's Approval for Advancing Treatments in Metastatic Breast Cancer Patients,Regulatory,28/5/2020
Amivas's Artesunate Receives the US FDA's Approval for Treatment of Severe Malaria,Regulatory,27/5/2020
Tolmar's Fensolvi Received the US FDA's Approval to Treat Pediatric Patients Two Years of Age and Older withntral Prec Ceocious Puberty (CPP),Regulatory,2020-04-05
AstraZeneca Signs an Agreement with Cobra Biologics for Vaccines Against COVID-19,Biotech|COVID-19,17/6/2020
Gilead to Initiate P-II/III Study Evaluating Remdesivir in Pediatric Patients Hospitalized With COVID-19,COVID-19|Pharma,18/6/2020
Roche Reports Results of Tecentriq + CT in P-III IMpassion031 Study for Patients with Early Triple-Negative Breast Cancer,Biotech|Clinical Trials,18/6/2020
Samsung Launches a Blood Pressure Monitoring App in South Korea,DigiHealth,18/6/2020
AstraZeneca Collaborates with Gendius to Provide Diabetes Management Support for Patients in the GCC,DigiHealth,18/6/2020
Genmab and Janssen's Darzalex Faspro (daratumumab and hyaluronidase-fihj) Receive the US FDA's Approval to Treat Multiple Myeloma in Adults,Regulatory,2020-01-05
Merck's Keytruda (pembrolizumab) Receives the US FDA's Approval as Monotherapy for Patients with Unresectable or Metastatic Tumor Mutational Burden-High Solid Tumors,Pharma,18/6/2020
Dr. Reddy's Elyxyb (celecoxib oral solution) Receives the US FDA's Approval for Acute Treatment of Migraine with or Without Aura in Adults,Regulatory,2020-06-05
Sunovion Pharmaceutical's Kynmobi (apomorphine hydrochloride) Receives the US FDA's Approval to Treat Parkinson's Disease Off Episodes,Regulatory,21/5/2020
PRA Collaborates with Microsoft to Foster COVID-19 Monitoring,COVID-19|DigiHealth,18/6/2020
Astellas' VESIcare LS (solifenacin succinate) Receives the US FDA's Approval to Treat Neurogenic Detrusor Overactivity (Ndo) In Pediatric Patients Aged 2 Years and Older,Regulatory|Uncategorized,27/5/2020
AbbVie and Neurocrine's Oriahnn Receive the US FDA's Approval as the First Oral Therapy for the Management of Heavy Menstrual Bleeding Due to Uterine Fibroids in Pre-menopausal Women,Regulatory,29/5/2020
AbbVie Signs an Exclusive Worldwide Option and License Agreement with Alpine to Develop and Commercialize ALPN-101,Pharma,19/6/2020
Roche and Cipla Expand Their 2018 Agreement to Improve Access of Oncology Therapies in India,Biotech,19/6/2020
RedHill Expands its P-II/III Study Evaluating Yeliva (opaganib) Against COVID-19 in Italy and UK,Biotech|COVID-19,19/6/2020
"Innovent Receives the NMPA's Approval for Byvasda (biosimilar, bevacizumab) to Treat Non-Small Cell Lung Cancer and Metastatic Colorectal Cancer in China",Biosimilars,19/6/2020
Pfizer and Sangamo's Giroctocogene Fitelparvovec (SB-525) Demonstrate Positive Effect in P-I/II Alta Study for Hemophilia A,Pharma,19/6/2020
Ultragenyx and Kyowa Kirin's Crysvita (burosumab) Receive the US FDA's Approval for the Treatment of Tumor-Induced Osteomalacia,Pharma,19/6/2020
Glenmark Launches FabiFlu (favipiravir) as the First Oral Medication to Treat Mild to Moderate COVID-19 in India,COVID-19|Pharma,22/6/2020
Merck KGaA and Pfizer Report EMA's Validation for Bavencio (avelumab) as a 1L Treatment for Locally Advanced or Metastatic Urothelial Carcinoma,Biotech,22/6/2020
Novartis Halts Clinical Trial Evaluating Hydroxychloroquine Against COVID-19 Due to Slow Enrollment,COVID-19|Pharma,22/6/2020
Cipla Launches Cipremi (remdesivir lyophilized powder for injection 100 mg) to Treat Patients with Severe COVID-19,COVID-19|Pharma,22/6/2020
Merck's Keytruda Receives the NMPA's Approval as a 2L Treatment for Locally Advanced or Metastatic Esophageal Squamous Cell Carcinoma,Regulatory,22/6/2020
Gilead to Initiate P-I Study Evaluating Inhaled Version of Remedesivir Against COVID-19 in August 2020,COVID-19,23/6/2020
Sanofi Expands its 2018 Collaboration with Translate Bio to Develop mRNA Vaccines Against Infectious Diseases,Biotech|COVID-19,23/6/2020
AbbVie Reports the US FDA's Acceptance of BOTOX's sBLA for Pediatric Patients with Neurogenic Detrusor Overactivity,Biotech,23/6/2020
ATAI Launches IntroSpect Digital Therapeutics to Foster Mental Health Care,MedTech,23/6/2020
BioInvent Reports the Enrollment of First Patient in P-I/IIa Study of BI-1206 + Keytruda for Solid Tumors,Biotech,23/6/2020
Schrodinger Expands its Drug Discovery Efforts Against COVID-19 Deploying Parallel Computing on Google Cloud,COVID-19|MedTech,23/6/2020
Sanofi Anticipates the Approval of its COVID-19 Vaccine by First Half of 2021,Biotech|COVID-19,24/6/2020
Gilead Holds an Exclusive Option to Acquire Pionyr Immunotherapeutics for ~$1.75B,M&A,24/6/2020
Sarepta Signs a Two-Year Research and Option Agreement with Codiak for Up to Five Neuromuscular Targets,Pharma,24/6/2020
AstraZeneca Signs an Agreement with Symbiosis for Sterile Manufacturing of its AZD1222 Against COVID-19,Biotech|COVID-19,24/6/2020
The US FDA Launches Project Patient Voice to Share Patient-Reported Outcomes from Cancer Trials,DigiHealth,24/6/2020
FibroGen Report Enrollment of First Patient in P-II Study Evaluating Pamrevlumab in Patients Hospitalized with Acute COVID-19,Biotech|COVID-19,24/6/2020
CSL Behring to Acquire uniQure' Hemophilia B Candidate (AMT-061) for ~$2B,M&A|Pharma,25/6/2020
Merck Collaborates with Yumanity to Accelerate the Development of Two Therapies Targeting Neurodegenerative Diseases,Pharma,25/6/2020
AstraZeneca Reports Results of Breztri Aerosphere in P-III ETHOS Study to Treat COPD,Clinical Trials|Pharma,25/6/2020
Merck's Keytruda (pembrolizumab) Receives the US FDA's Approval for Patients with Recurrent or Metastatic Cutaneous Squamous Cell Carcinoma,Regulatory,25/6/2020
Fulcrum Initiates P-III LOSVID Study Evaluating Losmapimod for Patients Hospitalized with COVID-19,COVID-19|Pharma,25/6/2020
Theravance Reports First Patient Dosing in a P-II Study of TD-0903 for Hospitalized Patients with Acute Lung Injury Associated with COVID-19,COVID-19|Pharma,25/6/2020
AbbVie Signs an Exclusive Research and Option to License Agreement with Sosei Heptares Targeting Inflammatory and Autoimmune Diseases,Pharma,26/6/2020
Zogenix's Fintepla (fenfluramine) Receives the US FDA's Approval for the Treatment of Seizures Associated with Dravet Syndrome,Pharma|Regulatory,26/6/2020
EMA Anticipates the EC's Conditional Marketing Authorization for Gilead's Remdesivir in Coming Week,COVID-19|Pharma,26/6/2020
Roche Launches uPath PD-L1 (SP263) Automated Digital Pathology Algorithm to Speed Up NSCLC Diagnosis,MedTech,26/6/2020
Sandoz Launches the Biosimilars Generation Campaign in Canada,Biosimilars,26/6/2020
Medtronic Receives the US FDA's Approval for its Percept PC Neurostimulator with BrainSense Technology,MedTech|Regulatory,26/6/2020
EMA's CHMP Recommends the Approval of Two Biosimilar Referencing Lilly's Forsteo (teriparatide) for the Treatment of Osteoporosis,Biosimilars,26/6/2020
Daiichi Sankyo in Talks with AstraZeneca for the Supply of AZD1222 to Combat COVID-19 in Japan,Biotech|COVID-19,29/6/2020
MHLW Approves Novartis' Five New Therapies Expanding its Footprints in Japan,Pharma|Regulatory,29/6/2020
Alexion's Ultomiris (ravulizumab) Receives EC's Approval for Atypical Hemolytic Uremic Syndrome,Biotech|Regulatory,29/6/2020
Roche's Enspryng (satralizumab) Receives MHLW's Approval for Neuromyelitis Optica Spectrum Disorder in Japan,Biotech|Regulatory,29/6/2020
"Samsung Bioepis' Aybintio (biosimilar, bevacizumab) Receives CHMP's Positive Opinion to Treat Multiple Cancer Indications",Biosimilars|Regulatory,29/6/2020
Gilead Unveils the Price of Remdesivir as $390 per Vial in Developed Countries,COVID-19|Pharma,30/6/2020
Abbott Integrates its CGM Technology with Tandem's Insulin Delivery System for Improving Diabetes Management,MedTech,30/6/2020
Bharat Biotech to Initiate Clinical Trials Evaluating Covaxin (India's First COVID-19 Vaccine) in July 2020,Biotech|COVID-19,30/6/2020
AstraZeneca and MSD's Selumetinib Receive MHLW's Orphan Drug Designation for Neurofibromatosis Type 1 in Japan,Pharma|Regulatory,30/6/2020
Roche's Phesgo (fixed-dose combination of Perjeta and Herceptin) Receives the US FDA's Approval for Early and Metastatic HER2-Positive Breast Cancer,Biotech|Regulatory,30/6/2020
"Celltrion's Remsima SC (biosimilar, infliximab) Receives CHMP's Positive Opinion for an Additional Five Indications Including Inflammatory Bowel Disease and Ankylosing Spondylitis",Biosimilars|Regulatory,30/6/2020
Takeda Collaborates with Carmine for Non-Viral Gene Therapies Worth Up to $900M,Biotech,2020-01-07
G1 Therapeutics and Boehringer Ingelheim Collaborate to Co-Promote Trilaciclib for Small Cell Lung Cancer in the US and Puerto Rico,Pharma,2020-01-07
Samsung Bioepis Reports the Initiation of P-III Study for SB15 Proposed Biosimilar to Eylea (aflibercept),Biosimilars,2020-01-07
Merck KGaA and Pfizer's Bavencio (avelumab) Receive the US FDA's Approval as a 1L Treatment for Locally Advanced or Metastatic Urothelial Carcinoma,Biotech|Regulatory,2020-01-07
Boston Scientific Receives the US FDA's 510(k) Clearance for its LUX-Dx Insertable Cardiac Monitor System,DigiHealth,2020-01-07
QurAlis Signs a License Agreement with Eli Lilly for its ALS Therapeutic Candidates,Pharma,2020-01-07
Pfizer and BioNTech Report Results of BNT162b1 mRNA-Based Vaccine in P-I/II Study Against COVID-19,Biotech|Clinical Trials|COVID-19,2020-02-07
Dr. Reddy's and GRA Collaborate with Fujifilm for Avigan (favipiravir) to Treat COVID-19 Outside Japan,COVID-19|Pharma,2020-02-07
Sorrento Selects T-VIVA-19 as a Targeted Protein Vaccine Candidate Against COVID-19,Biotech|COVID-19,2020-02-07
Janssen Receives EC's Approval for its Ebola Vaccine Dual Regimen,Biotech,2020-02-07
"Henlius Reports Positive Results of HLX04 (biosimilar, bevacizumab) in P-III Trial for Metastatic Colorectal Cancer",Biosimilars|Clinical Trials|Regulatory,16/6/2020
Yuhan Collaborates with GI Innovation for its Allergy Treatment Worth up to $1.2B,Pharma,2020-02-07
"Kyowa Kirin's FKB327 (biosimilar, adalimumab) Receives the MMA Approval in Japan",Biosimilars|Regulatory,29/6/2020
Biogen Signs a License Agreement with Massachusetts Eye and Ear to Develop Treatment for Inherited Retinal Disorder,Pharma,2020-02-07
Helsinn and MEI Terminate its P-III Study of Pracinostat for Patients with AML,Biotech,2020-03-07
Sarepta Signs an Exclusive Worldwide License with Hansa to Develop Imlifidase for Duchenne Muscular Dystrophy and Limb-Girdle Muscular Dystrophy,Biotech,2020-03-07
Sanofi and Regeneron's Kevzara (sarilumab) Fails in P-III Trial for Patients with COVID-19 in the US,Biotech|COVID-19,2020-03-07
Zydus to Initiate Clinical Trials Evaluating ZyCoV-D Vaccine Against COVID-19 in July 2020,Biotech|COVID-19,2020-03-07
ViiV Healthcare's Rukobia (fostemsavir) Receives the US FDA's Approval for HIV in Patients with Limited Treatment Options,Regulatory,2020-03-07
Medivir's MIV-818 Receives EC's Orphan Medicinal Product Designation to Treat Hepatocellular Carcinoma,Regulatory,2020-03-07
CytoDyn Signs an Agreement with American Regent for Leronlimab to Treat COVID-19 Patients in the US,Pharma,2020-06-07
MSD Signs a Clinical Trial Collaboration with Ascentage Pharma for Solid Tumors,Pharma,2020-06-07
Mylan's Remdesivir Lyophilized Powder for Injection Receives the DCGI Accelerated Approval for Restricted Emergency Use in COVID-19 Patients in India,COVID-19|Pharma,2020-06-07
Regeneron with its Partner NIAID Report the Initiation of P-III Trial to Evaluate REGN-COV2 for Treatment and Prevention of COVID-19,COVID-19|Pharma,2020-06-07
EspeRare's ER-004 Receives the US FDA's Breakthrough Therapy Designation for Prenatal Treatment of XLHED,Pharma,2020-06-07
Emergent Signs a Five-Year Manufacturing Services Agreement with Janssen for Ad26.COV2-S to Treat COVID-19,COVID-19|Pharma,2020-07-07
Becton Dickinson Receives the US FDA's EUA for its Third Point-Of-Care SARS-CoV-2 Diagnostic Test to Detect COVID-19,MedTech|Regulatory,2020-07-07
BMS Signs an Exclusive Option to License Agreement with Dragonfly Therapeutics to Develop Novel Therapies for Multiple Sclerosis and Neuro-inflammation Targets,Pharma,2020-07-07
Abbott's Gallant ICD and CRT-D Devices Receives the US FDA's Approval for Heart Rhythm Disorder with Bluetooth Connectivity,MedTech,2020-07-07
Novartis' Enerzair Breezhaler Receives the EC's Approval as a Maintenance Treatment of Asthma in Adult Patients Uncontrolled with LABA/ICS,DigiHealth|Pharma,2020-07-07
Daiichi Reports EMA's Validation of MAA and Accelerated Assessment for Trastuzumab Deruxtecan to Treat HER2 Positive Metastatic Breast Cancer,Pharma,2020-07-07
Regeneron Signs an Agreement with BARDA and the US Department of Defense for REGN-COV2 Worth $450M,Biotech|COVID-19,2020-08-07
GSK and Medicago to Initiate P-I Trial of Plant-Based COVID-19 Vaccine in July 2020,Biotech|COVID-19,2020-08-07
Angion Commences P-II Study of ANG-3777 in Patients with Acute Lung Injury Associated with COVID-19 Pneumonia in Brazil,COVID-19|Pharma,2020-08-07
Zai Lab Signs an Exclusive License Agreement with Turning Point Therapeutics for Repotrectinib in Greater China,Pharma,2020-08-07
AstraZeneca and MSD's Lynparza (olaparib) Receives EC's Approval for BRCA-Mutated Metastatic Pancreatic Cancer,Biotech,2020-08-07
Merck Collaborates with Foghorn to Develop Oncology Therapies Against Transcription Factor Target,Biotech,2020-08-07
Biogen and Eisai Complete the Submission of BLA to the US FDA for Aducanumab to Treat Alzheimer's Disease,Biotech,2020-09-07
Roche and Reverie Labs Collaborate to Advance Kinase Drug Discovery Programs,Pharma,2020-09-07
AstraZeneca's Brilinta (ticagrelor) Receives the US FDA's Priority Review for Reducing Stroke in Patients with Acute Ischemic Stroke or Transient Ischemic Attack,Pharma,2020-09-07
The European Commission Signs an Agreement with Roche and Merck to Supply their COVID-19 Therapies in EU,Biotech|COVID-19,2020-09-07
"Mylan and Fujifilm Kyowa Kirin Receive the US FDA's Approval for its Hulio (biosimilar, adalimumab)",Biosimilars,2020-09-07
Cipla Launches Cipremi at $53.34 per Vial in India,Biotech|COVID-19,2020-10-07
Sanofi Signs an Agreement with Kymera to Advance Novel Protein Degrader Therapies Worth Up to $2.1B,Pharma,2020-10-07
Bayer Reports Results of Finerenone P-III FIDELIO-DKD Renal Outcomes Study in Patients with Chronic Kidney Disease and Type 2 Diabetes,Clinical Trials|Pharma,2020-10-07
AstraZeneca Collaborates with ProteinQure to Design Novel Peptide Therapeutics,Biotech|COVID-19,2020-10-07
Philips Collaborates with BioIntelliSense to Enhance Remote Patient Monitoring,MedTech,2020-10-07
LEO Reports the US FDA's Acceptance of BLA for Tralokinumab to Treat Adults with Moderate to Severe Atopic Dermatitis,Biotech,2020-10-07
Biocon's ALZUMAb (itolizumab) Receives the DCGI's Approval for Emergency Use to Treat Patients with Moderate to Severe COVID-19,Pharma,13/7/2020
Roche Reports Results of Tecentriq in P-III IMagyn050 Study for Women with 1L Newly Diagnosed Advanced Stage Ovarian Cancer,Clinical Trials|Pharma,13/7/2020
Samsung Biologics Expands its Development Partnership with STCube for STM418,Pharma,13/7/2020
Pfizer with its Partner BioNTech Receives the US FDA's Fast Track Designation for Two mRNA Based Therapies to Treat COVID-19,Regulatory,13/7/2020
Gilead's Veklury (remdesivir) Receives the TGA's Approval to Treat Adults and Adolescents with Severe COVID-19 Symptoms,COVID-19|Regulatory,13/7/2020
Paige Secures Funding from Goldman Sachs to Continue Innovation in Digital Pathology,MedTech,14/7/2020
Roche Signs a ~$1B Agreement with Blueprint Medicines for its Precision Therapy to Treat Patients with RET-Altered Cancer Indications,Biotech,14/7/2020
Roche's Mosunetuzumab Receives the US FDA's Breakthrough Therapy Designation to Treat Relapsed or Refractory Follicular Lymphoma,Pharma,14/7/2020
Roche Expands its Collaboration with Immunomedics to Evaluate Tecentriq Based Combination Therapy in Urothelial and Non-Small Cell Lung Cancers,Biotech,14/7/2020
Merck Signs an Exclusive Agreement with Dewpoint Therapeutics to Develop Curative Treatment for HIV,Biotech,14/7/2020
Sanofi and MD Anderson Sign a Five-Year Pact to Expedite Oncology Research and Development,Pharma,14/7/2020
"Moderna to Commence Late-stage COVID-19 Vaccine Trial on 27 July, 2020",Biotech|COVID-19,15/7/2020
Samsung Biologics Signs Multi-Product Development and Manufacturing Agreement with ImmuneOncia,Biotech,15/7/2020
3M Collaborates with MIT to Develop Paper-Based Diagnostic Test for COVID-19,COVID-19|MedTech,15/7/2020
GSK's Belantamab Mafodotin Receives the US FDA Advisory Committee's Recommendation to Treat Relapsed/Refractory Multiple Myeloma,Biotech,15/7/2020
AstraZeneca and the University of Oxford to Share Positive News on its COVID-19 Vaccine Imminently,COVID-19,15/7/2020
Medtronic to Acquire Medicrea for Boosting its Spine Offerings,M&A,16/7/2020
Novartis Launches Zero Profit Portfolio for Symptomatic Treatment of COVID-19,COVID-19|Pharma,16/7/2020
AstraZeneca Report Results of Brilinta (ticagrelor) in P-III THALES Study for Patients with Acute Ischemic Stroke or Transient Ischemic Attack,Clinical Trials|Pharma,16/7/2020
Zydus Initiates Adaptive P-I/II Clinical Study Evaluating its ZyCoV-D Against COVID-19 in India,Biotech|COVID-19,16/7/2020
NCCN Collaborates with Pfizer to Explore Adoption of Biosimilars in Oncology,Biosimilars,16/7/2020
MSD Collaborates with Novocure to Evaluate Tumor Treating Fields Together with Keytruda (pembrolizumab) in Non-Small Cell Lung Cancer,Pharma,16/7/2020
Merck and Bayer Receive the US FDA's Priority Review for Vericiguat to Reduce the Risk of CV Death in Patients with Symptomatic Chronic Heart Failure with HFrEF,Regulatory,16/7/2020
